Comment,Designator,Footprint,JLCPCB Part
0402CG300J500NT,"C1, C2",FP-0402-L_1_0_1-W_0_5_0_1-IPC_B,C1570
CL05B104KO5NNNC,"C3, C5, C9, C10, C18, C19, C20, C21, C22, C23, C24, C25, C26, C28, C33, C34",CAPC1050X55X23NL05T13,C1525
CL05A105KA5NQNC,"C4, C8, C14",FP-CL542-IPC_B,C52923
CL10A106KP8NNNC,"C11, C16",FP-CL10-IPC_B,C19702
CL31A106KBHNNNE,C12,CAP-1206,C13585
CC0603KRX7R9BB104,C13,CAP-0603,C14663
CL05A225MQ5NSNC,C15,FP-CL50-IPC_C,C12530
CL10A226MQ8NRNC,C17,FP-CL10-IPC_B,C59461
0805B333K500NT,C27,CAP-0805,C1739
MMSZ4685T1G,"D1, D2",ONSC-SOD-123-2-425-04_V,C66886
MCP4716A0T-E/CH,DAC,SOT-23-CH6_M,C110057
Micro B USB 2.0,J1,FCI_10118193-0001LF,C132562
0402WGF1001TCE,"R1, R3",RESC1005X40X25NL05T05,C11702
0603WAF1002T5E,"R2, R4, R5",FP-CRCW0603-e3-IPC_B,C25804
0603WAF270JT5E,"R6, R7",FP-CRCW0603-e3-IPC_B,C25190
0603WAF1002T5E,"R9, R10, R11, R16, R17, R18, R19",RES-0603,C25804
0603WAF2002T5E,"R12, R13",RES-0603,C4184
ERA-3AEB393V,"R14, R22",RESC1608X55X30LL20T20,C473250
ERJ-3EKF2002V,"R15, R21",RESC1608X55X30ML15T15,C403057
0402WGF2003TCE,R20,RES-0402,C25764
ERJ-2RKF6800X,"R23, R24",FP-ERJ2RK-MFG,C413078
104031-0811,SD_CARD,MOLX-104031-0811_V,C585350
TS-1187A-B-A-B,"SW_BOOTSEL, SW_RUN",SW_TS-1187A-B-A-B,C318884
RP2040,U1,QFN40P700X700X90-57N,C2040
W25Q128JVSIQ,U2,SOIC127P790X216-8N,C97521
INA826AIDR,"U4, U5",FP-D0008A-IPC_A,C38433
MAX485ESA+T,U6,FP-S8-2-MFG,C5279041
LP2980AIM5-5.0/NOPB,U7,MF05A_M,C132014
AMS1117-3.3,U8,SOT230P700X180-4N,C6186
L78M12CDT-TR,U9,TO-252_L,C16424
X322512MSB4SI,X1,X322512MSB4SI-Footprint-1,C9002
