Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
D2,21.082,49.276,TopLayer,90
D1,53.086,44.958,TopLayer,0
R24,16.7595,41.402,TopLayer,0
R23,45.5,48.9,TopLayer,270
R22,41.1,7.8,TopLayer,180
R21,37.025,7.9,TopLayer,180
U9,61.6,13.55,TopLayer,180
R19,60.96,47.511,TopLayer,90
R18,62.484,48.26,TopLayer,90
R17,64.008,49.035,TopLayer,90
R16,65.532,49.784,TopLayer,90
R20,32.725,33,TopLayer,180
C33,53.594,52.578,TopLayer,0
C34,15.308,51.689,TopLayer,180
C28,64.06,17.8,TopLayer,0
C27,67.75,12.15,TopLayer,270
C5,32.512,34.739,TopLayer,270
U8,53.72,4.3,TopLayer,0
C4,55.9,28.9,TopLayer,180
C26,55.94,34.8,TopLayer,0
C25,82.296,31.877,TopLayer,0
C24,60.5,40.3,TopLayer,270
C23,55.94,30.2,TopLayer,0
C22,61.4,28.4,TopLayer,180
C21,66.2,31.24,TopLayer,270
C20,66.56,34.7,TopLayer,180
C19,55.88,26.416,TopLayer,0
C18,59.4,40.3,TopLayer,270
C17,48.387,3.591,TopLayer,270
C16,59.055,7.401,TopLayer,90
X1,61.5335,43.1484,TopLayer,180
U6,27.715,32.365,TopLayer,0
U5,16.764,46.609,TopLayer,90
U4,51,49,TopLayer,0
U2,73.05,29.1,TopLayer,0
U1,61.15,33.425,TopLayer,90
SW_BOOTSEL,80.724,37.308,TopLayer,0
SW_RUN,47.4,30.3,TopLayer,180
SD_CARD,78.0875,47.95,TopLayer,90
R15,27.813,27.686,TopLayer,0
R7,60.833,25.908,TopLayer,270
R14,24.25,27.75,TopLayer,0
R6,59.055,25.908,TopLayer,270
R13,32.415,30.915,TopLayer,90
R5,27.0346,19.5,TopLayer,0
R12,34.09,30.915,TopLayer,270
R4,29.5,18.7154,TopLayer,90
R11,21.965,29.315,TopLayer,180
R3,78.174,33.401,TopLayer,0
R10,21.965,30.99,TopLayer,180
R2,81.9616,33.528,TopLayer,0
R9,21.99,32.64,TopLayer,180
R1,62.05,40.8,TopLayer,0
J1,82.1625,23.3,TopLayer,90
DAC,26.25,15.75,TopLayer,90
C14,70.1834,6.858,TopLayer,0
C15,68.075,2.375,TopLayer,0
C11,29.5,14.977,TopLayer,90
C10,31.242,14.673,TopLayer,270
C9,25.56,12.5,TopLayer,180
C8,55.88,27.559,TopLayer,180
C13,80.01,56.273,TopLayer,270
C12,83.185,56.896,TopLayer,270
C3,71.247,34.993,TopLayer,270
C2,58.8,43.5845,TopLayer,270
C1,61.7,45.4,TopLayer,0
U7,66.975,5.75,TopLayer,270
